分类: 央视频道, 名称: 风云剧场, 有效: 5, IPv4: 15, IPv6: 0, 最小延迟: 251 ms, 最高速率: 18.01 M/s, 平均速率: 16.60 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: 怀旧剧场, 有效: 5, IPv4: 12, IPv6: 0, 最小延迟: 234 ms, 最高速率: 17.79 M/s, 平均速率: 14.33 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: 风云音乐, 有效: 5, IPv4: 12, IPv6: 0, 最小延迟: 303 ms, 最高速率: 17.27 M/s, 平均速率: 15.33 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: 风云足球, 有效: 3, IPv4: 19, IPv6: 0, 最小延迟: 143 ms, 最高速率: 16.91 M/s, 平均速率: 15.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: 兵器科技, 有效: 3, IPv4: 10, IPv6: 0, 最小延迟: 322 ms, 最高速率: 16.47 M/s, 平均速率: 12.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: 世界地理, 有效: 1, IPv4: 23, IPv6: 0, 最小延迟: 956 ms, 最高速率: 4.71 M/s, 平均速率: 4.71 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 山东卫视, 有效: 7, IPv4: 195, IPv6: 0, 最小延迟: 110 ms, 最高速率: 18.30 M/s, 平均速率: 6.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 北京卫视, 有效: 8, IPv4: 296, IPv6: 0, 最小延迟: 116 ms, 最高速率: 15.63 M/s, 平均速率: 10.64 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 东方卫视, 有效: 8, IPv4: 266, IPv6: 0, 最小延迟: 115 ms, 最高速率: 13.02 M/s, 平均速率: 5.44 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.48, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 浙江卫视, 有效: 8, IPv4: 239, IPv6: 0, 最小延迟: 116 ms, 最高速率: 17.03 M/s, 平均速率: 6.12 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 辽宁卫视, 有效: 8, IPv4: 218, IPv6: 0, 最小延迟: 152 ms, 最高速率: 18.79 M/s, 平均速率: 9.71 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
